game_id,season,week,home,away,neutral,fbs_both,total_pts,mkt_total,mkt_total_open,mkt_spread,proj_py_h,proj_ypa_h,proj_ry_h,proj_yrc_h,proj_py_a,proj_ypa_a,proj_ry_a,proj_yrc_a,tempo_h,tempo_a,exp_plays,proj_total_yards,off_ypa_h,def_ypa_h,off_ypc_h,def_ypc_h,off_ypa_a,def_ypa_a,off_ypc_a,def_ypc_a,prate_h,prate_a,pre_w_h,pre_w_a
401520362,2023,10,Alabama,LSU,False,True,70.0,60.5,60.0,-3.0,254.2301365226325,9.27254470651474,193.15687039644104,4.798849633610944,265.367682157109,8.193590521527174,130.42439021187383,3.6967370485471784,65.82060716092558,69.51574572570372,67.66817644331465,843.1790792880564,9.854333821496784,5.3233743855706335,4.7842676893236336,2.5676614752097815,10.580380244664827,6.4682336016750535,5.520553207364794,3.846125716992592,0.4051759151574035,0.4786183023323507,0.6428571428571429,0.6428571428571429
401525544,2023,10,NC State,Miami,False,True,26.0,44.0,45.5,6.0,229.407861715838,7.189344625480755,126.6995991022626,3.5751549588764155,268.31561162584995,8.280027087462361,154.71334400803772,4.427569568584855,66.7954155743627,67.90125920877063,67.34833739156667,779.1364164519882,7.272156490305394,6.735872768949395,4.359635718643057,3.3934369646108316,8.449906678879431,6.7957926084405065,5.002964400106965,3.1444628865833257,0.4737967918834846,0.48115755114879644,0.6428571428571429,0.6428571428571429
401540263,2023,10,Montana,Sacramento State,False,False,41.0,53.5,,-2.5,212.6292544329795,7.299965732655145,174.15553042809717,4.334151053845723,240.01167532748093,8.126008228327052,157.85308116629824,3.9688149574663742,68.30893477934319,70.31023939013475,69.30958708473898,784.6495413548558,6.530925493697224,7.453360461560189,3.6848596474867144,3.589779296845279,7.494439584967476,7.6835181701438575,4.239307381127465,4.510086772581286,0.42025112371434176,0.42614931935981865,0.6428571428571429,0.6153846153846154
401520378,2023,10,UTEP,Western Kentucky,False,True,34.0,54.0,54.5,9.5,242.6963195552822,8.608301486791234,190.85189068153102,4.724166805814725,345.03823168224005,8.434562638594889,153.6085125452871,5.548501427616728,66.47065737610058,70.71403462261239,68.59234599935648,932.1949544643404,7.87787401413223,7.682871612711288,3.8663774727069073,5.0255525307691515,7.546629387167166,7.511427297345856,4.23344274197884,4.685142202435292,0.4110267288303653,0.596388134999628,0.6428571428571429,0.6428571428571429
401524050,2023,10,Washington State,Stanford,False,True,17.0,58.0,61.0,-13.5,369.989371448095,9.380089791564618,116.26238485510385,3.8460877396041355,286.1646944959253,8.279478512629328,147.16582191037764,4.1915967957775235,68.43137660545659,70.91433925398469,69.67285792972064,919.5822727095018,8.687017215734642,7.387111928610382,3.7119537060815144,4.162643531737632,7.704462299468077,7.422502353128892,3.8611091872516288,3.972998867297299,0.5661332041895663,0.4960774009943639,0.6153846153846154,0.6153846153846154
401532608,2023,10,Fresno State,Boise State,False,True,67.0,54.5,55.0,-2.5,297.1045569618969,7.949758159052445,102.5132483519677,3.280517350332112,242.487020993389,8.371866038313117,186.99638360031028,4.715298868352157,69.77875458105976,67.46502446401755,68.62188952253865,829.1012099075639,7.295366326329519,6.74189628985738,3.5058929128053427,3.6310545874132556,8.535996597620745,7.490673079674721,4.9794141810889,3.587942691162133,0.5446189187485171,0.4220885346871577,0.6428571428571429,0.6428571428571429
401524046,2023,10,Colorado,Oregon State,False,True,45.0,60.5,59.0,13.5,302.14859490839643,8.173988723865897,92.71526576577787,2.957067898105048,297.1916927742299,9.664238762113328,209.16909527338603,5.567933589102621,72.61940026670368,64.01745697595189,68.31842862132778,901.2246487217902,8.018053715764902,7.534057729820504,3.406152717574419,4.12504593429835,8.817647592045276,7.007758119588212,5.175675776437875,3.328886482476412,0.5410640463156519,0.45012293917820495,0.6153846153846154,0.6428571428571429
401524045,2023,10,Arizona,UCLA,False,True,37.0,49.5,53.5,2.5,282.7563845186843,7.5706559184793285,117.68599446174458,3.4893388756460206,270.35465065148276,8.755394980968326,195.49365151946637,4.863308865364191,69.35447750337158,72.79811986398927,71.07629868368042,866.2906811513781,8.545299562455199,7.164882527136502,4.5706184812344866,3.521013697853074,8.400027334552696,6.09004142536721,5.296219092919187,2.927318536036965,0.5254774792947623,0.4344434940306324,0.6428571428571429,0.6428571428571429
401532437,2023,11,Northern Illinois,Ball State,False,True,37.0,43.0,43.0,-9.5,236.73603321398005,7.953975881114216,165.1067244291909,4.575599867273386,188.9771215589981,6.329586643113554,158.7074028799265,4.409611065374332,66.51186993686711,65.18293542650652,65.84740268168682,749.5272820820956,7.135315847083799,7.487706346273496,4.670097335165346,4.465456479411781,5.810862187731612,7.662757786873369,3.7864849036791286,3.756850485643014,0.45200313540583725,0.453414319255672,0.6666666666666666,0.6428571428571429
401532438,2023,11,Western Michigan,Central Michigan,False,True,66.0,57.5,55.75,-3.5,242.35899776027472,7.989822928825755,191.8739038353404,4.85946392993801,245.75097602803862,8.27122097332277,175.93541137863005,4.3867085795435,72.0724155399744,67.5636751010272,69.8180453205008,855.9192890022838,6.664459980815752,8.302050463955029,4.122455160390374,4.090152232584969,6.848544548012007,8.241119668788006,4.112454601115655,4.519956210230916,0.4344645113911316,0.4255571992663637,0.6428571428571429,0.6428571428571429
